기업명,자산,부채,매출액,당기순이익(손실)
삼성디스플레이,"43,305,405","8,361,256","24,658,814","1,498,628"
Samsung Electronics America(SEA),"21,810,492","9,496,649","34,521,654","246,141"
Samsung (China) Investment(SCIC),"13,632,938","11,672,755","8,792,750","298,373"
Samsung (China) Semiconductor(SCS),"9,749,448","4,564,793","4,152,137","1,113,218"
Samsung Electronics Vietnam(SEV),"9,134,023","1,258,948","19,426,334","2,046,280"
Samsung Electronics Europe Holding(SEEH),"8,643,308","6,661,092",-,"350,974"
Samsung Semiconductor(SSI),"7,804,698","3,746,687","19,911,135","30,247"
Samsung Electronics Vietnam THAINGUYEN(SEVT),"7,646,828","2,179,023","23,563,736","2,641,418"
Samsung Electronics Huizhou(SEHZ),"6,174,579","1,106,633","12,971,475","764,426"
Shanghai Samsung Semiconductor(SSS),"5,862,409","5,166,385","20,983,314","181,041"
Samsung Asia Private(SAPL),"5,528,472","592,320","1,458,176","1,056,956"
Samsung Electronica da Amazonia(SEDA),"5,200,799","1,510,972","6,092,245","966,821"
Samsung Austin Semiconductor(SAS),"4,940,748","1,293,458","3,586,127","104,747"
Samsung India Electronics(SIEL),"4,563,407","2,256,194","8,827,028","753,164"
Samsung Display Vietnam(SDV),"3,165,239","3,437,791","5,230,581","(98,102)"
