과 목,제 48 (당) 기,,제 47 (전) 기,
Ⅰ. 미처분이익잉여금,,"38,248",,"12,089,583"
1. 전기이월이익잉여금,30,,30,
"2. 분기배당금 당기 - 주당배당금(률) : 1,000원(20%) 전기 - 주당배당금(률) : 1,000원(20%)","(141,540)",,"(148,916)",
3. 자기주식 소각,"(11,399,991)",,-,
4. 당기순이익,"11,579,749",,"12,238,469",
Ⅱ. 임의적립금 등의 이입액,,"3,812,135",,-
1. 기업합리화적립금,"3,812,135",,-,
Ⅲ. 이익잉여금처분액,,"3,850,352",,"12,089,553"
1. 기업합리화적립금,-,,"3,000,000",
"2. 배당금 주당배당금(률) 당기 - 보통주 : 27,500원(550%) 우선주 : 27,550원(551%) 전기 - 보통주 : 20,000원(400%) 우선주 : 20,050원(401%)","3,850,352",,"2,919,821",
3. 연구및인력개발준비금,-,,"5,000,000",
4. 시설적립금,-,,"1,169,732",
Ⅳ. 차기이월미처분이익잉여금,,31,,30
