구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,"74,259","196,686"
"Samsung Electronics America, Inc. (SEA)","3,841,560","1,119,907",
Samsung Asia Pte. Ltd. (SAPL),"2,091","1,147",
Harman과 그 종속기업(*4),"5,179","9,659",
Samsung Austin Semiconductor LLC. (SAS),"9,575","303,203",
"Samsung (China) Semiconductor Co., Ltd. (SCS)","68,251","687,410",
"Samsung Semiconductor, Inc. (SSI)","5,271,414","209,789",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","925,410","2,324,691",
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","181,785","201,966",
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"2,760",-,
Samsung India Electronics Private Ltd. (SIEL),"922,630","297,628",
"Samsung Display Vietnam Co., Ltd. (SDV)","90,305",46,
"Samsung Electronics Vietnam Co., Ltd. (SEV)","502,410","1,377,493",
Samsung Eletronica da Amazonia Ltda. (SEDA),"256,936","1,226",
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","3,906,968",281,
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","148,857","367,007",
"Thai Samsung Electronics Co., Ltd. (TSE)","280,682","267,659",
Samsung Electronics (UK) Ltd. (SEUK),"64,642","40,118",
세메스㈜,"68,340","917,707",
Samsung Electronics Mexico S.A. De C.V. (SEM),"252,813","2,021",
Samsung Electronics GmbH (SEG),"72,258","4,448",
"Samsung International, Inc. (SII)","129,178","54,694",
"Samsung Electronics Taiwan Co., Ltd. (SET)","362,737","87,718",
Samsung Electronics Benelux B.V. (SEBN),"52,172","6,266",
Samsung Electronics Europe Logistics B.V. (SELS),"413,581",415,
기타,"6,556,255","2,607,878",
계,"24,463,048","11,087,063",
