구 분,토지,건물및구축물,기계장치,건설중인자산,기타,합 계
기초장부가액,"5,701,112","6,335,305","23,949,077","3,243,353","580,088","39,808,935"
취득원가,"5,701,112","9,481,739","71,241,948","3,243,353","1,570,330","91,238,482"
감가상각누계액 (손상차손누계액 포함),-,"(3,146,434)","(47,292,871)",-,"(990,242)","(51,429,547)"
일반취득 및 자본적지출,"252,673","2,478,736","5,550,275","2,151,044","207,063","10,639,791"
감가상각,-,"(478,091)","(8,041,473)",-,"(179,299)","(8,698,863)"
처분/폐기,"(7,489)","(14,505)","(132,672)",-,"(5,463)","(160,129)"
손상,-,-,(430),-,(18),(448)
기타,-,(118),"(3,412)","(146,027)",(357),"(149,914)"
기말장부가액,"5,946,296","8,321,327","21,321,365","5,248,370","602,014","41,439,372"
취득원가,"5,946,296","11,919,933","74,175,971","5,248,370","1,659,337","98,949,907"
감가상각누계액 (손상차손누계액 포함),-,"(3,598,606)","(52,854,606)",-,"(1,057,323)","(57,510,535)"
