과 목,제 47 (당) 기,,제 46 (전) 기,
Ⅰ. 미처분이익잉여금,,"12,089,583",,"14,516,403"
1. 전기이월이익잉여금,30,,30,
"2. 중간배당액 당기 - 주당배당금(률) : 1,000원(20%) 전기 - 주당배당금(률) : 500원(10%)","(148,916)",,"(75,408)",
3. 당기순이익,"12,238,469",,"14,591,781",
Ⅱ. 이익잉여금처분액,,"12,089,553",,"14,516,373"
1. 기업합리화적립금,"3,000,000",,"4,000,000",
"2. 배당금 주당배당금(률) 당기 - 보통주 : 20,000원(400%) 우선주 : 20,050원(401%) 전기 - 보통주 : 19,500원(390%) 우선주 : 19,550원(391%)","2,919,821",,"2,924,564",
3. 연구및인력개발준비금,"5,000,000",,"6,000,000",
4. 시설적립금,"1,169,732",,"1,591,809",
Ⅲ. 차기이월미처분이익잉여금,,30,,30
