해외종속기업,보증처,보증기간,금액,
실차입금,지급보증금액,,,
Samsung Electronics America(SEA),SMBC 외,2017-12-16,"1,208,500","2,930,613"
Samsung Electronics Turkey(SETK),BTMU 외,2017-12-16,"227,037","713,015"
Samsung Electronics Digital Appliance Mexico(SEDAM),Citibank 외,2017-12-16,"122,452","472,524"
Samsung Electronics South Africa(SSA),Citibank 외,2017-12-16,"41,484","404,848"
Samsung Electronics Peru(SEPR),BBVA 외,2017-12-16,"83,071","217,530"
Samsung Electronica Colombia(SAMCOL),Citibank 외,2017-12-16,"101,012","188,526"
Samsung Electronics Poland Manufacturing(SEPM),HSBC,2017-06-13,"104,982","151,063"
Simpress,BNP,2017-11-08,"53,813","72,510"
Samsung Electronics South Africa Production(SSAP),SCB,2017-11-08,"12,426","36,255"
기타,,,-,"6,214,287"
합계,,,"1,954,777","11,401,171"
