기업명,당기말,,,,전기말
보유주식수(주),지분율(%)(*),취득원가,장부가액(시장가치),장부가액(시장가치),
삼성중공업,"65,930,982",16.9,"473,727","483,275","609,862"
호텔신라,"2,004,717",5.1,"13,957","170,200","96,527"
아이마켓코리아,"647,320",1.8,324,"5,832","6,732"
에이테크솔루션,"1,592,000",15.9,"26,348","19,423","16,636"
원익홀딩스 (구. 원익아이피에스),"1,759,171",2.3,"15,410","13,880","11,857"
원익아이피에스,"1,850,936",4.5,"16,214","61,821","48,495"
케이티스카이라이프,"240,000",0.5,"3,344","3,228","4,152"
동진쎄미캠,"2,467,894",4.8,"48,277","54,540",-
솔브레인,"835,110",4.8,"55,618","56,370",-
용평리조트,"400,000",0.8,"1,869","4,180","3,432"
계,,,"655,088","872,749","797,693"
