구 분,당기,전기
1. 매출채권의 증가,"(5,012,981)","(2,861,360)"
2. 미수금의 감소(증가),"384,556","(214,730)"
3. 선급금의 (증가)감소,"(285,473)","277,917"
4. 장단기선급비용의 감소(증가),"570,413","(128,505)"
5. 재고자산의 증가,"(1,898,309)","(774,684)"
6. 매입채무의 증가,"346,249","2,175,554"
7. 장단기미지급금의 증가,"159,839","1,846,464"
8. 선수금의 증가,"13,563","39,898"
9. 예수금의 증가,"111,212","47,750"
10. 미지급비용의 증가,"472,269","22,336"
11. 충당부채의 증가(감소),"151,698","(2,094,578)"
12. 퇴직금의 지급,"(423,506)","(375,689)"
13. 사외적립자산의 (증가)감소,"(64,321)","28,149"
14. 기타,"11,449","423,100"
계,"(5,463,342)","(1,588,378)"
