구 분,기업명(*1),채권 등,채무 등
종속기업,Samsung Electronics GmbH(SEG),"831,102","2,484"
Samsung Electronics (UK)(SEUK),"71,493","16,517",
Samsung Electronics Indonesia(SEIN),"185,909","55,394",
기타,"7,160,968","2,122,030",
종속기업 계(*2),"27,160,827","7,387,130",
관계기업 및 공동기업,삼성에스디에스,"14,005","378,894"
삼성전기,"3,521","132,156",
삼성SDI,"87,830","58,261",
제일기획,58,"498,262",
기타,"55,035","101,234",
관계기업 및 공동기업 계,"160,449","1,168,807",
그 밖의특수관계자,삼성물산,"218,983","617,069"
기타(*3),"17,901","1,233,887",
그 밖의 특수관계자 계,"236,884","1,850,956",
기타(*4),삼성엔지니어링,"2,426","410,763"
에스원,649,"42,590",
기타,"2,621","28,772",
기타 계,"5,696","482,125",
