계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,"(3,406,625)","3,195","(3,403,430)","(936,822)","38,317","(898,505)"
"종속기업, 관계기업 및 공동기업 투자(*1)","(3,837,368)",-,"(3,837,368)","(853,165)","34,127","(819,038)"
감가상각누계액 등,"(2,456,302)","(3,733,239)","(6,189,541)","(675,483)","(958,555)","(1,634,038)"
미수수익,"(54,107)","44,687","(9,420)","(14,879)","12,392","(2,487)"
충당부채 및 미지급비용 등,"11,098,305","2,589,469","13,687,774","3,052,034","561,538","3,613,572"
외화평가조정,"(5,313)","562,866","557,553","(1,461)","148,655","147,194"
자산손상,"1,096,297","(105,290)","991,007","220,916","(36,634)","184,282"
퇴직급여,"(6,093,355)","685,667","(5,407,688)","(1,675,673)","248,043","(1,427,630)"
분할 시 투자주식 평가증(*2),"10,586,822",-,"10,586,822",-,-,-
기타,"3,897,591","624,521","4,522,112","478,445","145,735","624,180"
소 계,"10,825,945","671,876","11,497,821","(406,088)","193,618","(212,470)"
2) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,"672,053","1,153,334","1,825,387","614,893","1,010,632","1,625,525"
3) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,"(124,938)","291,573","166,635","(34,358)","78,349","43,991"
순확정급여부채(자산) 재측정요소,"3,769,652","(1,173,189)","2,596,463","1,036,653","(351,187)","685,466"
소 계,"3,644,714","(881,616)","2,763,098","1,002,295","(272,838)","729,457"
이연법인세자산(부채) 계,,,,"1,211,100","931,412","2,142,512"
