구 분,DX 부문,DS 부문,계(*)
매출액,117257647.0,97102386.0,211867483.0
감가상각비,542437.0,23589388.0,24311940.0
무형자산상각비,1631289.0,754791.0,2605067.0
영업이익,3083254.0,22232180.0,25319329.0
